Type,Assembly Number,Revision,,,,,,,,,,
ECCCollectorPart,5847814,'1',,,,,,,,,,
Level,Find Number,Quantity,Reference Designator,Item,Revision,Description,UOM,Note,MPN,Manufacturer,Alternate,Substitute
3,,4,"D2,D3,D7,D8",5134724-3,'1',"RF PIN DIODE, NON MAGNETIC, 2.41x2.41x3.43 mm3, MELF SMQ, SURFACE MOUNT, 0.5 OHM SERIES RESISTANCE, 0.3US   CARRIER LIFETIME",Each,,10590-MADP-000235-10720T,MA-COM,,
3,,1,C22,5357262-12,'3',"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,01521-ATC100B8R2CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB8R2CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B8R2CP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B8R2CTN1500X,KYOCERA AVX,,
3,,2,"C8,C20",5357262-32,'3',"CAPACITOR 91PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-102CHB910GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 91PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B910GP102X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 91PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B910GTN1000X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 91PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B910GTN1000X,AMERICAN TECHNICAL CERAMICS,,
3,,1,C14,5357262-27,'3',"CAPACITOR 51PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B510GTN1000X,KYOCERA AVX,,
